순서,식품분류기준대분류,식품분류기준중분류,식품분류기준소분류,요오드-131,세슘-134,세슘-137
130,수산물,어류,꽁치,불검출,불검출,불검출
131,수산물,어류,조기,불검출,불검출,불검출
132,수산물,건어물,오징어,불검출,불검출,불검출
133,수산물,건어물,오징어,불검출,불검출,불검출
134,수산물,건어물,황태,불검출,불검출,불검출
135,수산물,건어물,멸치,불검출,불검출,불검출
136,수산물,건어물,멸치,불검출,불검출,불검출
137,수산물,건어물,멸치,불검출,불검출,불검출
138,수산물,건어물,새우,불검출,불검출,불검출
139,수산물,해조류,다시마,불검출,불검출,불검출
140,수산물,해조류,파래,불검출,불검출,불검출
141,수산물,해조류,미역,불검출,불검출,불검출
142,수산물,건어물,새우,불검출,불검출,불검출
143,수산물,건어물,북어,불검출,불검출,불검출
144,수산물,어류,삼치,불검출,불검출,불검출
145,수산물,어류,동태,불검출,불검출,불검출
146,수산물,어류,고등어,불검출,불검출,불검출
147,수산물,어류,가자미,불검출,불검출,불검출
148,수산물,어류,임연수,불검출,불검출,불검출
149,수산물,어류,갈치,불검출,불검출,불검출
150,수산물,어류,조기,불검출,불검출,불검출
151,수산물,어류,대구,불검출,불검출,불검출
152,수산물,연체동물,오징어,불검출,불검출,불검출
153,수산물,연체동물,낙지,불검출,불검출,불검출
154,수산물,연체동물,주꾸미,불검출,불검출,불검출
155,수산물,건어물,멸치,불검출,불검출,불검출
156,수산물,해조류,다시마,불검출,불검출,불검출
157,수산물,갑각류,새우,불검출,불검출,불검출
158,수산물,갑각류,게,불검출,불검출,불검출
159,수산물,패류,바지락,불검출,불검출,불검출
160,수산물,패류,홍합,불검출,불검출,불검출
161,수산물,건어물,새우,불검출,불검출,불검출
162,수산물,건어물,황태,불검출,불검출,불검출
163,수산물,건어물,미역,불검출,불검출,불검출
164,수산물,어류,코다리,불검출,불검출,불검출
165,수산물,어류,꽁치,불검출,불검출,불검출
166,가공식품,음료,차,불검출,불검출,불검출
167,가공식품,음료,차,불검출,불검출,불검출
168,가공식품,음료,차,불검출,불검출,불검출
169,가공식품,음료,차,불검출,불검출,불검출
170,가공식품,음료,차,불검출,불검출,불검출
171,가공식품,음료,차,불검출,불검출,불검출
172,가공식품,음료,차,불검출,불검출,불검출
173,가공식품,음료,차,불검출,불검출,불검출
174,기타,기타,기타,불검출,불검출,불검출
175,기타,기타,기타,불검출,불검출,불검출
176,수산물,어류,고등어,불검출,불검출,불검출
177,수산물,어류,대구,불검출,불검출,불검출
178,수산물,어류,갈치,불검출,불검출,불검출
179,수산물,연체동물,주꾸미,불검출,불검출,불검출
180,수산물,어류,임연수,불검출,불검출,불검출
181,수산물,어류,가자미,불검출,불검출,불검출
182,수산물,연체동물,주꾸미,불검출,불검출,불검출
183,수산물,연체동물,낙지,불검출,불검출,불검출
184,수산물,어류,대구,불검출,불검출,불검출
185,수산물,어류,고등어,불검출,불검출,불검출
186,수산물,어류,갈치,불검출,불검출,불검출
187,수산물,어류,꽁치,불검출,불검출,불검출
188,수산물,어류,임연수,불검출,불검출,불검출
189,수산물,어류,가자미,불검출,불검출,불검출
190,수산물,어류,삼치,불검출,불검출,불검출
191,수산물,어류,동태,불검출,불검출,불검출
192,수산물,연체동물,오징어,불검출,불검출,불검출
193,수산물,어류,조,불검출,불검출,불검출
194,수산물,해조류,다시마,불검출,불검출,불검출
195,수산물,건어물,멸치,불검출,불검출,불검출
196,폐기물,폐기물,폐기물,불검출,불검출,불검출
197,폐기물,폐기물,폐기물,불검출,불검출,불검출
198,가공식품,기타,건강보조식품,불검출,불검출,불검출
199,수산물,해조류,김,불검출,불검출,불검출
200,수산물,건어물,멸치,불검출,불검출,불검출
201,수산물,건어물,디포리,불검출,불검출,불검출
202,수산물,해조류,다시마,불검출,불검출,불검출
203,수산물,해조류,미역,불검출,불검출,불검출
204,수산물,해조류,파래,불검출,불검출,불검출
205,수산물,건어물,멸치,불검출,불검출,불검출
206,수산물,건어물,멸치,불검출,불검출,불검출
207,수산물,건어물,오징어,불검출,불검출,불검출
208,수산물,건어물,오징어,불검출,불검출,불검출
209,수산물,건어물,명엽,불검출,불검출,불검출
210,수산물,건어물,오징어,불검출,불검출,불검출
211,수산물,건어물,새우,불검출,불검출,불검출
212,수산물,건어물,새우,불검출,불검출,불검출
213,수산물,건어물,오징어,불검출,불검출,불검출
214,수산물,건어물,새우,불검출,불검출,불검출
215,수산물,건어물,새우,불검출,불검출,불검출
216,수산물,건어물,북어,불검출,불검출,불검출
217,수산물,어류,꽁치,불검출,불검출,불검출
218,수산물,어류,고등어,불검출,불검출,불검출
219,수산물,어류,동태,불검출,불검출,불검출
220,수산물,어류,대구,불검출,불검출,불검출
221,수산물,어류,임연수,불검출,불검출,불검출
222,수산물,어류,삼치,불검출,불검출,불검출
223,수산물,어류,조기,불검출,불검출,불검출
224,수산물,어류,조기,불검출,불검출,불검출
225,수산물,연체동물,오징어,불검출,불검출,불검출
226,수산물,연체동물,낙지,불검출,불검출,불검출
227,수산물,연체동물,주꾸미,불검출,불검출,불검출
228,수산물,갑각류,꽃게,불검출,불검출,불검출
229,수산물,어류,갈치,불검출,불검출,불검출
230,수산물,어류,갈치,불검출,불검출,불검출
231,수산물,어류,갈치,불검출,불검출,불검출
